Geo Code,Geo Name,Line Number
"1006001","Division No. 6, Subd. D",2058254
"10060010078","10060078",2060501
"1006003","Norris Arm",2062748
"10060030079","10060079",2064995
"10060030080","10060080",2067242
"1006008","Division No. 6, Subd. E",2069489
"10060080074","10060074",2071736
"1006009","Gander",2073983
"10060090058","10060058",2076230
"10060090059","10060059",2078477
"10060090060","10060060",2080724
"10060090061","10060061",2082971
"10060090062","10060062",2085218
"10060090063","10060063",2087465
"10060090064","10060064",2089712
"10060090065","10060065",2091959
"10060090066","10060066",2094206
"10060090067","10060067",2096453
"10060090068","10060068",2098700
"10060090069","10060069",2100947
"10060090070","10060070",2103194
"10060090071","10060071",2105441
"10060090072","10060072",2107688
"10060090073","10060073",2109935
"1006011","Appleton",2112182
"10060110075","10060075",2114429
"1006012","Glenwood",2116676
"10060120076","10060076",2118923
"10060120077","10060077",2121170
"1006014","Division No. 6, Subd. C",2123417
"10060140086","10060086",2125664
"1006015","Northern Arm",2127911
"10060150087","10060087",2130158
"1006017","Grand Falls-Windsor",2132405
"10060170096","10060096",2134652
"10060170097","10060097",2136899
"10060170098","10060098",2139146
"10060170099","10060099",2141393
"10060170100","10060100",2143640
"10060170101","10060101",2145887
"10060170102","10060102",2148134
"10060170103","10060103",2150381
"10060170104","10060104",2152628
"10060170105","10060105",2154875
